"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","test_patch_a_post[body_only_payload]","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","45","test_patch_a_post_by_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","68","test_get_post_by_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","79","test_create_a_new_post","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","35","test_put_edit_comment_with_an_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestPutMethodComments","test_comments","",""
"","128","test_put_edit_comment","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPutMethodComments","test_comments","",""
"","80","test_get_comments_to_the_post","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetCommentsToPostTests","test_posts","",""
"","70","test_create_a_new_post_with_missing_keys[missing_userId]","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","70","test_delete_post_with_non_existing_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodComments","test_comments","",""
"","91","test_patch_edit_comment_by_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodComments","test_comments","",""
"","33","test_replace_a_post","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPutMethodPost","test_posts","",""
"","180","test_create_a_new_comment_with_missing_keys[missing_email]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","32","test_patch_a_post[title_only_payload]","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","77","test_replace_a_post_by_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPutMethodPost","test_posts","",""
"","28","test_patch_edit_comment[missing_name]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","29","test_patch_edit_comment[missing_email]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","62","test_create_a_new_post_with_missing_keys[missing_title]","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","60","test_get_posts","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","126","test_get_comment_by_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodComments","test_comments","",""
"","61","test_delete_comment_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodComments","test_comments","",""
"","127","test_get_post_with_non_existent_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","59","test_delete_post_with_non_existing_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodPostTests","test_posts","",""
"","91","test_get_all_comments","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodComments","test_comments","",""
"","28","test_delete_post","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodPostTests","test_posts","",""
"","167","test_create_a_new_comment_with_missing_keys[missing_postId]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","64","test_get_comments_by_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodComments","test_comments","",""
"","153","test_create_a_new_comment","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","99","test_create_a_new_comment_with_missing_keys[missing_body]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","40","test_delete_comment","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodComments","test_comments","",""
"","79","test_create_a_new_comment_with_missing_keys[missing_name]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","67","test_get_comments_to_the_post_with_non_existing_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetCommentsToPostTests","test_posts","",""
"","81","test_get_comments_to_the_post_with_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetCommentsToPostTests","test_posts","",""
"","23","test_patch_edit_comment[missing_postId]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","25","test_patch_edit_comment[missing_body]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","44","test_delete_post_with_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodPostTests","test_posts","",""
"","73","test_create_a_new_post_with_missing_keys[missing_body]","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","75","test_get_post_with_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","19","test_patch_a_post[userId_only_payload]","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
