"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","test_get_comments_to_the_post","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","48","test_get_posts","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","41","test_patch_a_post[payload1]","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","259","test_get_post_by_id","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","39","test_replace_a_post","tests","2026-07-06","skipped","2026-07-06","","test_posts","",""
"","80","test_delete_post","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","44","test_patch_a_post[payload2]","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","362","test_create_a_new_post","tests","2026-07-06","skipped","2026-07-06","","test_posts","",""
"","127","test_get_comments_by_id","tests","2026-07-06","passed","2026-07-06","","test_comments","",""
"","362","test_create_a_new_comment","tests","2026-07-06","skipped","2026-07-06","","test_comments","",""
"","181","test_get_all_comments","tests","2026-07-06","passed","2026-07-06","","test_comments","",""
"","48","test_patch_a_post[payload0]","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
