"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","test_patch_a_post[body_only_payload]","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","88","test_put_edit_comment","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPutMethodComments","test_comments","",""
"","63","test_delete_comment_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodComments","test_comments","",""
"","19","test_patch_edit_comment[missing_email]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","171","test_create_a_new_comment_with_missing_keys[missing_postId]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","47","test_delete_post_with_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodPostTests","test_posts","",""
"","83","test_create_a_new_post_with_missing_keys[missing_body]","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","19","test_patch_edit_comment[missing_name]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","50","test_delete_post_with_non_existing_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodComments","test_comments","",""
"","58","test_patch_a_post_by_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","32","test_delete_post","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodPostTests","test_posts","",""
"","26","test_patch_edit_comment[missing_postId]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","92","test_patch_edit_comment_by_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodComments","test_comments","",""
"","20","test_patch_edit_comment[missing_body]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPatchMethodComments","test_comments","",""
"","75","test_replace_a_post_by_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPutMethodPost","test_posts","",""
"","98","test_get_post_with_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","56","test_get_comments_by_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodComments","test_comments","",""
"","61","test_get_comments_to_the_post","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetCommentsToPostTests","test_posts","",""
"","74","test_get_comments_to_the_post_with_invalid_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetCommentsToPostTests","test_posts","",""
"","38","test_replace_a_post","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPutMethodPost","test_posts","",""
"","79","test_create_a_new_comment_with_missing_keys[missing_name]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","87","test_create_a_new_comment_with_missing_keys[missing_body]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","125","test_get_comment_by_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodComments","test_comments","",""
"","52","test_delete_post_with_non_existing_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodPostTests","test_posts","",""
"","26","test_patch_a_post[userId_only_payload]","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","121","test_create_a_new_comment","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","51","test_get_post_by_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","78","test_get_comments_to_the_post_with_non_existing_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetCommentsToPostTests","test_posts","",""
"","36","test_put_edit_comment_with_an_invalid_id","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestPutMethodComments","test_comments","",""
"","76","test_create_a_new_post_with_missing_keys[missing_title]","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","173","test_create_a_new_comment_with_missing_keys[missing_email]","tests.comments_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodComments","test_comments","",""
"","17","test_patch_a_post[title_only_payload]","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestPatchMethodPostTests","test_posts","",""
"","76","test_get_post_with_non_existent_id","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","60","test_create_a_new_post_with_missing_keys[missing_userId]","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
"","41","test_delete_comment","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestDeleteMethodComments","test_comments","",""
"","59","test_get_posts","tests.posts_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodPostsTests","test_posts","",""
"","113","test_get_all_comments","tests.comments_endpoint","2026-07-13","passed","2026-07-13","TestGetMethodComments","test_comments","",""
"","99","test_create_a_new_post","tests.posts_endpoint","2026-07-13","skipped","2026-07-13","TestPostMethodPostsTests","test_posts","",""
