"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","test_get_all_comments","tests","2026-07-06","passed","2026-07-06","","test_comments","",""
"","96","test_get_posts","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","64","test_patch_a_post[payload2]","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","371","test_create_a_new_post","tests","2026-07-06","skipped","2026-07-06","","test_posts","",""
"","144","test_get_post_by_id","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","346","test_create_a_new_comment","tests","2026-07-06","skipped","2026-07-06","","test_comments","",""
"","136","test_delete_post","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","202","test_get_comments_by_id","tests","2026-07-06","passed","2026-07-06","","test_comments","",""
"","225","test_get_comments_to_the_post","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","65","test_patch_a_post[payload0]","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","69","test_patch_a_post[payload1]","tests","2026-07-06","passed","2026-07-06","","test_posts","",""
"","69","test_replace_a_post","tests","2026-07-06","skipped","2026-07-06","","test_posts","",""
